	186	178	-133.500000	45.500000	1.029297e+05
	784	179	16.000000	45.250000	1.038154e+05
	281	194	-109.750000	41.500000	1.038772e+05
	1168	194	112.000000	41.500000	1.036444e+05
	1068	197	87.000000	40.750000	1.035589e+05
	1024	222	76.000000	34.500000	1.044369e+05
	1120	232	100.000000	32.000000	1.035934e+05
	98	282	-155.500000	19.500000	1.014977e+05
	898	299	44.500000	15.250000	1.019927e+05
	1043	332	80.750000	7.000000	1.014984e+05
	431	334	-72.250000	6.500000	1.024069e+05
	1109	345	97.250000	3.750000	1.018069e+05
2015	1	1	17	18
	0	18	-180.000000	85.500000	1.026414e+05
	0	58	-180.000000	75.500000	1.023754e+05
	136	59	-146.000000	75.250000	1.041401e+05
	1001	70	70.250000	72.500000	1.019591e+05
	89	163	-157.750000	49.250000	1.029664e+05
	183	181	-134.250000	44.750000	1.029666e+05
	785	181	16.250000	44.750000	1.038616e+05
	1179	190	114.750000	42.500000	1.037524e+05
	281	193	-109.750000	41.750000	1.038691e+05
	1068	199	87.000000	40.250000	1.034636e+05
	1024	222	76.000000	34.500000	1.045156e+05
	1098	234	94.500000	31.500000	1.040966e+05
	98	282	-155.500000	19.500000	1.016481e+05
	878	317	39.500000	10.750000	1.022716e+05
	1043	332	80.750000	7.000000	1.015006e+05
	431	334	-72.250000	6.500000	1.020686e+05
	1109	345	97.250000	3.750000	1.017009e+05
2015	1	1	22	21
	0	12	-180.000000	87.000000	1.023641e+05
	0	57	-180.000000	75.750000	1.024551e+05
	136	58	-146.000000	75.500000	1.041171e+05
	997	71	69.250000	72.250000	1.018758e+05
	86	160	-158.500000	50.000000	1.029998e+05
	741	178	5.250000	45.500000	1.039311e+05
	184	183	-134.000000	44.250000	1.028726e+05
	798	185	19.500000	43.750000	1.038843e+05
	1183	190	115.750000	42.500000	1.037006e+05
	281	194	-109.750000	41.500000	1.035246e+05
	701	195	-4.750000	41.250000	1.038933e+05
	1078	201	89.500000	39.750000	1.033848e+05
	1017	208	74.250000	38.000000	1.045998e+05
	368	220	-88.000000	35.000000	1.027858e+05
	1098	234	94.500000	31.500000	1.045596e+05
	1205	242	121.250000	29.500000	1.031128e+05
	98	282	-155.500000	19.500000	1.016376e+05
	334	290	-96.500000	17.500000	1.018556e+05
	878	317	39.500000	10.750000	1.022051e+05
	1043	332	80.750000	7.000000	1.013691e+05
	431	334	-72.250000	6.500000	1.019468e+05
	1109	345	97.250000	3.750000	1.015446e+05
